Restaurant Name,Rating,Review Count,Price Range,Categories,Street Address,Latitude,Longitude,Phone Number,Website URL
Nolabelle Kitchen + Bar,4.4,117,$$,"Burgers, American, Sandwiches","520 S Front St, Ste 500, Mankato, MN 56001",44.1633024,-94.0072095,15077200841,https://www.yelp.com/biz/nolabelle-kitchen-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pagliai's Pizza,4.2,181,$$,"Pizza, Italian, Sandwiches","524 S Front St, Mankato, MN 56001",44.16318415,-94.00707426,15073456080,https://www.yelp.com/biz/pagliais-pizza-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pappageorge Restaurant & Bar,4.3,54,$$,"Bars, Steakhouses, American","1028 N Riverfront Dr, Mankato, MN 56001",44.17687988,-93.99424744,15073878974,https://www.yelp.com/biz/pappageorge-restaurant-and-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Number 4 Steakhouse,3.6,182,$$,"American, Steakhouses, Beer Bar","124 E Walnut, Mankato, MN 56001",44.16606721,-94.00237495,15073441444,https://www.yelp.com/biz/number-4-steakhouse-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pub 500,3.8,169,$$,"Pubs, American","500 S Front St, Mankato, MN 56001",44.16373,-94.0068299,15076256500,https://www.yelp.com/biz/pub-500-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Dino's Pizzeria,3.7,92,$$,"Pizza, Italian, Sandwiches","239 Belgrade Ave, North Mankato, MN 56003",44.170027,-94.007495,,https://www.yelp.com/biz/dinos-pizzeria-north-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
El Mazatlan Authentic Mexican Restaurant,4,138,$$,Mexican,"1525 Tullamore St, Mankato, MN 56001",44.16739,-93.96776,15076252406,https://www.yelp.com/biz/el-mazatlan-authentic-mexican-restaurant-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
India Palace,4.3,107,$$,"Indian, Vegetarian, Vegan","1511 Madison Ave, Ste 100, Mankato, MN 56001",44.1665187,-93.9688318,15076252300,https://www.yelp.com/biz/india-palace-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Shawarmania Mediterranean Grill,4.6,45,N/A,"Mediterranean, Halal","251 Bunting Ln, Ste 101, Mankato, MN 56001",44.14606,-93.98824,15077797341,https://www.yelp.com/biz/shawarmania-mediterranean-grill-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Tav On The Ave,3.4,71,$$,American,"1120 Madison Ave, Mankato, MN 56001",44.16729,-93.97727,15073453308,https://www.yelp.com/biz/tav-on-the-ave-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Ummie's,4.1,37,N/A,American,"530 S Front St, Mankato, MN 56001",44.16304424,-94.00713379,15076258277,https://www.yelp.com/biz/ummies-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Boulder Tap House,3.7,138,$$,"American, Beer Bar, Chicken Wings","291 St Andrews Dr, Mankato, MN 56001",44.180616,-93.957258,15073441643,https://www.yelp.com/biz/boulder-tap-house-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Olde Brick House,4.3,30,N/A,"Irish, Irish Pub, Salad","1521 Tullamore St, Mankato, MN 56001",44.167351,-93.968277,15077797690,https://www.yelp.com/biz/olde-brick-house-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Olives,3.6,100,$$,"Mediterranean, New American","20 Civic Center Plz, Mankato, MN 56001",44.16580673,-94.0056793,15072747010,https://www.yelp.com/biz/olives-by-massads-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
The Loose Moose Saloon & Conference Center,4.4,14,$$,"American, Sandwiches, Burgers","119 S Front St, Mankato, MN 56001",44.16669,-94.0028899,15073451446,https://www.yelp.com/biz/the-loose-moose-saloon-and-conference-center-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Jake's Stadium Pizza,3.8,51,$$,Pizza,"330 Stadium Rd, Mankato, MN 56001",44.14538956,-93.98732758,15073455420,https://www.yelp.com/biz/jakes-stadium-pizza-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Tandem Bagels,4.3,79,$,"Coffee & Tea, Bagels, Breakfast & Brunch","200 E Walnut St, Mankato, MN 56001",44.16578674,-94.00239563,15077206533,https://www.yelp.com/biz/tandem-bagels-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Giliberto's Mexican Taco Shop #10,4,29,N/A,"Fast Food, Mexican","625 Madison Ave Mankato Minnesota 56001, Mankato, MN 56001",44.17093,-93.9888,15077200721,https://www.yelp.com/biz/gilibertos-mexican-taco-shop-10-mankato-3?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Flask,3.9,28,N/A,"Tacos, Beer Bar, Pizza","100 E Walnut St, Mankato, MN 56001",44.16645,-94.00312,15077200896,https://www.yelp.com/biz/flask-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Weggy's on Campus,3.3,91,$,"New American, Burgers","1600 Warren St, Ste 13, Mankato, MN 56001",44.145877,-93.993441,15077206633,https://www.yelp.com/biz/weggys-on-campus-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Coffee Hag,4.5,121,$,"Coffee & Tea, Vegetarian, Music Venues","329 N Riverfront Dr, Mankato, MN 56001",44.17024591,-93.99996577,15073875533,https://www.yelp.com/biz/coffee-hag-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Maverick’s Sports Grill,4.3,6,$$,"Sports Bars, Seafood, American","503 South Front St, Mankato, MN 56001",44.16354142,-94.0062707,15077797119,https://www.yelp.com/biz/maverick-s-sports-grill-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Swiss & Madison,3.7,24,N/A,New American,"920 Madison Ave, Mankato, MN 56001",44.16705688,-93.98149839,15077200818,https://www.yelp.com/biz/swiss-and-madison-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
"1000 Degrees Pizza - Mankato, MN",4,24,N/A,"Pizza, Chicken Wings, Salad","1351 Madison Ave, Mankato, MN 56001",44.16608,-93.97316,15077200956,https://www.yelp.com/biz/1000-degrees-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
La Bamba Mexican Taco House - Taqueria Mexicana,3.9,23,$,Tacos,"501 S Front St, Mankato, MN 56001",44.16349,-94.0061,15077797073,https://www.yelp.com/biz/la-bamba-mexican-taco-house-taqueria-mexicana-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
MC’s Garage,3.7,27,N/A,"Burgers, Salad, Chicken Wings","1861 Adams St, Mankato, MN 56001",44.170142,-93.9518594,15077200298,https://www.yelp.com/biz/mc-s-garage-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Shogun Sushi And Hibachi,3.2,88,$$,"Japanese, Sushi Bars, Steakhouses","1901 Madison Ave, Ste 315, Mankato, MN 56001",44.16592853,-93.94795009,15077797088,https://www.yelp.com/biz/shogun-sushi-and-hibachi-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pita Pit,4,27,$,"Sandwiches, Fast Food, Mediterranean","530 S Front St, Ste 210, Mankato, MN 56001",44.16295796,-94.00726372,15073454444,https://www.yelp.com/biz/pita-pit-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
507 Poke Bowl,4.5,21,N/A,"Ramen, Acai Bowls","501 Holly Ln, Ste 140, Mankato, MN 56001",44.166025,-93.96973,15077200552,https://www.yelp.com/biz/507-poke-bowl-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Buffalo Wild Wings,2.7,77,$$,"Chicken Wings, American, Sports Bars","301 Saint Andrews Dr, Mankato, MN 56001",44.182,-93.95705491,15073859464,https://www.yelp.com/biz/buffalo-wild-wings-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Tokyo Sushi & Hibachi,3.7,100,$$,"Sushi Bars, Japanese","1829 Adams St, Mankato, MN 56001",44.169534,-93.953588,15073883338,https://www.yelp.com/biz/tokyo-sushi-and-hibachi-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Los Dos Primos,5,8,N/A,"Mexican, Sports Bars, Seafood","2041 Blazing Star Dr, Mankato, MN 56001",44.156437,-93.945127,15077200575,https://www.yelp.com/biz/los-dos-primos-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
NaKato Bar & Grill,3.5,38,$,"Bars, American","253 Belgrade Ave, North Mankato, MN 56003",44.17,-94.0081938,15073888999,https://www.yelp.com/biz/nakato-bar-and-grill-north-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Olive Garden Italian Restaurant,3.7,45,$$,"Italian, Salad, Soup","1880 Adams St, Mankato, MN 56001",44.17109127,-93.949897,15073457585,https://www.yelp.com/biz/olive-garden-italian-restaurant-mankato-3?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Dickey's Barbecue Pit,3.4,44,$$,"Barbeque, American","501 Holly Ln, Mankato, MN 56001",44.16606,-93.96965,15076254227,https://www.yelp.com/biz/dickeys-barbecue-pit-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Oleander Saloon,4.8,4,$$,"Sports Bars, Pizza, Cocktail Bars","701 N Riverfront Dr, Mankato, MN 56001",44.17303,-93.99684,15076254285,https://www.yelp.com/biz/oleander-saloon-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Massad's,3.8,31,$,Mediterranean,"1850 Adams St, Mankato, MN 56001",44.1729399,-93.95463,15073877111,https://www.yelp.com/biz/massads-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Zanz Mexican Restaurant,3.6,53,$,Mexican,"1041 E Madison Ave, Mankato, MN 56001",44.16648483,-93.9790802,15073884789,https://www.yelp.com/biz/zanz-mexican-restaurant-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
The Atomic Star Tavern,3.5,18,$,"Bars, American, Burgers","12 Civic Center Plz, Ste 1675, Mankato, MN 56001",44.164822,-94.005308,15077200200,https://www.yelp.com/biz/the-atomic-star-tavern-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Five Guys,4.1,30,$$,"Burgers, Fast Food","1920 Adams St, Mankato, MN 56001",44.17095198,-93.94706913,15077690827,https://www.yelp.com/biz/five-guys-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Yu's Chinese Cuisine,3,33,$,Chinese,"1633 Monks Ave, Ste 120, Mankato, MN 56001",44.146041,-93.98884,15073899886,https://www.yelp.com/biz/yus-chinese-cuisine-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Catrine's Mexican Grill and Bar,4,11,N/A,"Mexican, Desserts, Bars","1404 Madison Ave, Mankato, MN 56001",44.167542,-93.971706,15077797222,https://www.yelp.com/biz/catrines-mexican-grill-and-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Boon’s Backyard BBQ,0,0,N/A,"Food Trucks, Barbeque","Mankato, MN 56001",44.17154875,-93.9910791,15074200074,https://www.yelp.com/biz/boon-s-backyard-bbq-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Crooked Pint Ale House,2.8,33,N/A,"Tacos, Breakfast & Brunch, Burgers","1850 Madison Ave, Mankato, MN 56001",44.168713,-93.953743,15078104180,https://www.yelp.com/biz/crooked-pint-ale-house-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Wooden Spoon,4.4,5,N/A,"Bakeries, Sandwiches, Desserts","515 N Riverfront Dr, Mankato, MN 56001",44.171601,-93.998515,15073454114,https://www.yelp.com/biz/wooden-spoon-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
China Star,3.4,34,$$,Chinese,"1857 E Madison Ave, Mankato, MN 56001",44.166835,-93.950309,15076258073,https://www.yelp.com/biz/china-star-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Applebee's Grill + Bar,3.3,38,$$,"American, Sports Bars, Burgers","1900 Adams St, Mankato, MN 56001",44.1708,-93.9482,15072168200,https://www.yelp.com/biz/applebees-grill-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Jersey Mike's Subs,3.9,14,$,"Fast Food, Delis, Sandwiches","510 South Riverfront Dr, Mankato, MN 56001",44.1643,-94.00815,15077797200,https://www.yelp.com/biz/jersey-mikes-subs-mankato-3?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Rounders,2.8,40,$,"Bars, American","414 S Front St, Mankato, MN 56001",44.164475,-94.006205,15073887767,https://www.yelp.com/biz/rounders-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Jonny b’s,4.2,18,$$,"American, Sports Bars","1600 Warren St, Ste 17A, Mankato, MN 56001",44.14556221,-93.99303246,15076256276,https://www.yelp.com/biz/jonny-b-s-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Happy Chef Restaurant,3.5,36,$$,American,"2100 Highway 169 N, Mankato, MN 56001",44.1962471,-94.0203171,15073882953,https://www.yelp.com/biz/happy-chef-restaurant-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Bosphorus Gyros & Kebabs,4.4,9,N/A,"Mediterranean, Caterers","1850 Adams St, Ste 612, Mankato, MN 56001",44.17261173,-93.95267446,15077206252,https://www.yelp.com/biz/bosphorus-gyros-and-kebabs-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Mongolian Grill,3.6,46,$,"Chinese, Mongolian","1876 Tailwind Dr, Mankato, MN 56001",44.1674652,-93.9515854,15073884550,https://www.yelp.com/biz/mongolian-grill-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Noodles and Company,3.1,24,$$,"Salad, Noodles, Pasta Shops","1600 Warren St And Stadium Rd, Mankato, MN 56001",44.14592,-93.99431,15072991882,https://www.yelp.com/biz/noodles-and-company-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Chankaska Creek Ranch & Winery,4,59,$$,"Wineries, Venues & Event Spaces, Pizza","1179 E Pearl St, Kasota, MN 56050",44.289696,-93.95089,15079310089,https://www.yelp.com/biz/chankaska-creek-ranch-and-winery-kasota?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Wine Cafe,4,8,$$,"Wine Bars, Pizza, Coffee & Tea","301 N Riverfront Dr, Mankato, MN 56001",44.16922855,-94.0007776,15073451516,https://www.yelp.com/biz/wine-cafe-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
